170.63, 172.28, 170.79, 173.82, 176.03, 175.11, 175.42, 179.70, 179.26, 179.36,
179.31, 177.39, 176.28, 172.75, 170.89, 170.76, 170.75, 169.54, 167.08, 166.58,
165.84, 166.03, 167.71, 163.41, 161.05, 165.76, 165.08, 165.10, 165.18, 166.16,
167.17, 169.30, 168.22, 169.62, 169.58, 169.70, 169.54, 171.28, 171.27, 171.37,
172.56, 171.50, 170.09, 167.96, 168.28, 167.18, 166.14, 167.89, 169.13, 170.92,
172.03, 172.19, 172.54, 172.20, 171.25, 172.23, 172.75, 173.20, 170.54, 172.90,
174.85, 176.20, 173.06, 172.46, 172.90, 176.75, 175.03, 174.56, 174.44, 174.87,
173.50, 170.54, 169.04, 168.07, 168.26, 169.35, 168.18, 169.16, 169.17, 169.41,
167.44, 166.91, 166.94, 167.81, 166.31, 165.83, 169.54, 169.87, 169.03, 167.11,
167.08, 169.09, 164.72, 159.82, 160.75, 168.94, 168.12, 165.92, 167.02, 165.65
